Algorithm,R2 Score,MAE,MSE,RMSE
Random Forest,0.3053,21.0275,699.1302,26.4411
Linear Regression,0.2997,20.6074,704.6762,26.5457
Ridge Regression,0.2995,20.6151,704.9065,26.5501
Gradient Boosting,0.2959,20.8633,708.5507,26.6186
Lasso Regression,0.2943,20.7857,710.1292,26.6482
Extra Trees,0.2208,21.8026,784.0906,28.0016
ElasticNet,0.2095,22.1152,795.5149,28.2049
SVR,0.1787,23.1545,826.4519,28.7481
KNN,0.1707,21.7883,834.5395,28.8884
AdaBoost,0.1004,24.3471,905.2854,30.088
Decision Tree,-0.5124,28.6364,1521.974,39.0125
