Followers,Following,Posts,Fake
50,500,1,Yes
100,600,2,Yes
150,700,3,Yes
200,800,4,Yes
250,900,5,Yes
300,1000,6,Yes
350,1100,7,Yes
400,1200,8,Yes
450,1300,9,Yes
500,1400,10,Yes
600,1500,12,No
700,1600,14,No
800,1700,16,No
900,1800,18,No
1000,1900,20,No
1200,2000,25,No
1500,2200,30,No
1800,2400,35,No
2000,2600,40,No
2500,2800,45,No
3000,3000,50,No
3500,3200,55,No
4000,3500,60,No
4500,3800,70,No
5000,4000,80,No
5500,4200,90,No
6000,4500,100,No
7000,4800,120,No
8000,5000,140,No
9000,5500,160,No
10000,6000,180,No
12000,6500,200,No
15000,7000,220,No
18000,7500,250,No
20000,8000,300,No
25000,8500,350,No
30000,9000,400,No
35000,9500,450,No
40000,10000,500,No
50000,11000,600,No
